id,name,latitude,longitude,description
1100316,wrf_5.804245_80.038811,5.804245,80.038811,"WRF point"
1100317,wrf_5.804245_80.066040,5.804245,80.066040,"WRF point"
1100318,wrf_5.804245_80.093269,5.804245,80.093269,"WRF point"
1100319,wrf_5.804245_80.120499,5.804245,80.120499,"WRF point"
1100320,wrf_5.804245_80.147728,5.804245,80.147728,"WRF point"
1100321,wrf_5.804245_80.174957,5.804245,80.174957,"WRF point"
1100322,wrf_5.804245_80.202187,5.804245,80.202187,"WRF point"
1100323,wrf_5.804245_80.229416,5.804245,80.229416,"WRF point"
1100324,wrf_5.804245_80.256645,5.804245,80.256645,"WRF point"
1100325,wrf_5.804245_80.283875,5.804245,80.283875,"WRF point"
1100326,wrf_5.804245_80.311104,5.804245,80.311104,"WRF point"
1100327,wrf_5.804245_80.338333,5.804245,80.338333,"WRF point"
1100328,wrf_5.804245_80.365562,5.804245,80.365562,"WRF point"
1100329,wrf_5.804245_80.392792,5.804245,80.392792,"WRF point"
1100330,wrf_5.804245_80.420021,5.804245,80.420021,"WRF point"
1100331,wrf_5.804245_80.447250,5.804245,80.447250,"WRF point"
1100332,wrf_5.804245_80.474480,5.804245,80.474480,"WRF point"
1100333,wrf_5.804245_80.501709,5.804245,80.501709,"WRF point"
1100334,wrf_5.804245_80.528938,5.804245,80.528938,"WRF point"
1100335,wrf_5.804245_80.556168,5.804245,80.556168,"WRF point"
1100336,wrf_5.804245_80.583397,5.804245,80.583397,"WRF point"
1100337,wrf_5.804245_80.610626,5.804245,80.610626,"WRF point"
1100338,wrf_5.804245_80.637856,5.804245,80.637856,"WRF point"
1100339,wrf_5.804245_80.665085,5.804245,80.665085,"WRF point"
1100340,wrf_5.804245_80.692314,5.804245,80.692314,"WRF point"
1100341,wrf_5.804245_80.719543,5.804245,80.719543,"WRF point"
1100342,wrf_5.804245_80.746773,5.804245,80.746773,"WRF point"
1100343,wrf_5.804245_80.774002,5.804245,80.774002,"WRF point"
1100344,wrf_5.804245_80.801231,5.804245,80.801231,"WRF point"
1100345,wrf_5.804245_80.828461,5.804245,80.828461,"WRF point"
1100346,wrf_5.804245_80.855690,5.804245,80.855690,"WRF point"
1100347,wrf_5.804245_80.882919,5.804245,80.882919,"WRF point"
1100348,wrf_5.804245_80.910149,5.804245,80.910149,"WRF point"
1100349,wrf_5.804245_80.937378,5.804245,80.937378,"WRF point"
1100350,wrf_5.804245_80.964607,5.804245,80.964607,"WRF point"
1100351,wrf_5.804245_80.991837,5.804245,80.991837,"WRF point"
1100352,wrf_5.804245_81.019066,5.804245,81.019066,"WRF point"
